Index,Product_Registration,File_Path,File_Name,DLP_File_Date_UTC,Time_Zone_Offset,Number_Recordings,File_Hours,ClientGroup_Name,ClientGroup_ID,Child_ChildKey,Child_ChildID,Child_DOB,Child_Age,Child_Gender,Child_EnrollDate,DLP,ITS_Version,AWC,Turn_Count,Child_Voc_Count,FAN_Word_Count,MAN_Word_Count,SIL,Recording_Index,Elapsed_Time,Clock_Time_TZAdj,Audio_Duration
63,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,63.00,1.00,9.00,46.54,16.94,75.52,1.00,18542.00,03/21/2021 18:10:00,300.00
64,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,77.00,6.00,11.00,72.11,4.26,51.85,1.00,18842.00,03/21/2021 18:15:00,300.00
65,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,65.00,3.00,14.00,55.58,10.10,46.60,1.00,19142.00,03/21/2021 18:20:00,300.00
66,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,50.00,4.00,32.00,48.33,1.55,18.05,1.00,19442.00,03/21/2021 18:25:00,300.00
67,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,24.00,1.00,11.00,20.18,4.00,31.73,1.00,19742.00,03/21/2021 18:30:00,300.00
68,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,20042.00,03/21/2021 18:35:00,300.00
69,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,20342.00,03/21/2021 18:40:00,300.00
70,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,20642.00,03/21/2021 18:45:00,300.00
71,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,0.00,0.00,0.00,0.00,0.00,0.00,1.00,20942.00,03/21/2021 18:50:00,300.00
72,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,21242.00,03/21/2021 18:55:00,300.00
73,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,0.00,0.00,0.00,0.00,0.00,0.00,1.00,21542.00,03/21/2021 19:00:00,300.00
